eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude
914258,GUTE,GUTE|PAS-Ms,1907,3,29,20,46,30.0,,122.0,3.0,,,,500.0,,7.2,0.2
914262,GUTE,GUTE|PAS-Ms,1907,4,18,20,59,48.0,,123.0,14.0,,,,35.0,,7.6,0.2
914263,GUTE,GUTE|PAS-Ms,1907,4,18,23,52,24.0,,123.0,13.5,,,,35.0,,7.4,0.2
16957964,ISC,ISC|PAS-Ms,1907,6,25,17,54,40.28,1.25,127.2325,1.3426,23.0,18.34,88.0,200.0,,7.5,0.2
914225,GUTE,GUTE|PAS-Ms,1909,4,14,19,53,42.0,,123.0,24.0,,,,80.0,,7.3,0.2
914226,GUTE,GUTE|PAS-Ms,1909,4,25,22,36,0.0,,127.0,4.0,,,,100.0,,7.0,0.2
16958127,ISC,ISC|ISC-Ms,1910,12,16,14,44,55.88,0.8,126.0507,4.6847,28.35,11.93,65.0,15.0,,7.65,0.2
914153,GUTE,GUTE|PAS-Ms,1911,3,6,17,30,0.0,,126.0,6.0,,,,100.0,,6.8,0.2
16958154,ISC,ISC|ISC-Ms,1911,7,12,4,7,38.24,0.56,127.1028,8.5457,18.16,9.909,62.0,15.0,,7.75,0.2
914136,GUTE,GUTE|PAS-Ms,1912,8,17,19,11,48.0,,127.0,4.0,,,,35.0,,7.5,0.2
914029,GUTE,GUTE|PAS-Ms,1913,1,11,13,16,54.0,,122.0,1.5,,,,35.0,,7.1,0.2
914043,ISC,ISC|ISC-Ms,1913,3,14,8,45,4.31,0.62,126.1209,5.3544,22.02,10.01,73.0,15.0,,7.85,0.2
913996,GUTE,GUTE|PAS-Ms,1914,7,6,6,37,30.0,,122.0,24.0,,,,60.0,,6.8,0.2
914014,ISC,ISC|ISC-Ms,1914,10,23,6,18,44.81,0.79,128.1414,4.2393,23.7,12.5,82.0,35.0,,7.55,0.264
913884,ISC,ISC|ISC-Ms,1915,2,28,18,59,12.03,0.59,123.4918,23.3588,13.77,7.621,84.0,20.0,,7.46,0.2
913886,GUTE,GUTE|PAS-Ms,1915,3,12,14,48,30.0,,124.0,12.0,,,,40.0,,7.0,0.2
913940,GUTE,GUTE|PAS-Ms,1915,9,11,23,59,12.0,,123.5,5.5,,,,600.0,,6.8,0.2
913057,ISC,ISC|ISC-Ms,1918,2,7,5,20,20.51,0.65,126.0594,6.9928,15.37,10.03,86.0,35.0,,6.96,0.261
913072,ISC,ISC|ISC-Ms,1918,2,13,6,7,18.12,0.57,117.1037,23.5822,11.57,9.673,133.0,15.0,,7.46,0.2
913190,ISC,ISC|ISC-Ms,1918,7,1,6,8,35.55,0.71,126.4681,8.9575,19.21,10.77,79.0,35.0,,6.56,0.399
913230,ISC,ISC|ISC-Ms,1918,8,15,12,18,21.68,0.51,124.3768,5.9672,17.7,9.132,63.0,20.0,,8.05,0.264
913231,ISC,ISC|ISC-Ms,1918,8,15,15,26,20.92,1.07,124.2612,5.2127,24.96,14.13,84.0,35.0,,6.46,0.248
913232,ISC,ISC|ISC-Ms,1918,8,15,17,30,11.18,0.73,125.7502,5.2264,13.65,10.37,94.0,15.0,,6.96,0.261
913233,ISC,ISC|ISC-Ms,1918,8,16,3,25,41.47,0.77,124.6605,5.2887,19.95,9.331,67.0,35.0,,6.0,0.215
912699,ISC,ISC|ISC-Ms,1919,1,1,1,33,49.87,0.52,126.53,6.8194,12.34,8.539,59.0,35.0,,7.06,0.264
912747,GUTE,GUTE|PAS-Ms,1919,3,21,1,2,23.0,,123.0,13.0,,,,50.0,,6.5,0.2
912770,ISC,ISC|ISC-Ms,1919,4,27,0,22,0.06,0.78,120.4099,12.3529,17.86,9.228,110.0,15.0,,6.66,0.326
912961,ISC,ISC|ISC-Ms,1919,9,26,19,39,43.48,0.57,124.0984,6.8498,11.41,7.681,95.0,35.0,,6.56,0.321
913021,ISC,ISC|ISC-Ms,1919,12,20,20,37,34.36,0.57,121.7873,22.5136,12.98,7.186,108.0,20.0,,7.06,0.2
912485,ISC,ISC|ISC-Ms,1920,5,7,5,40,52.72,0.6,126.8077,6.831,15.74,9.194,76.0,35.0,,6.86,0.335
912519,ISC,ISC|ISC-Ms,1920,6,5,4,21,35.18,0.42,121.9859,23.6844,9.007,6.643,90.0,20.0,,8.15,0.2
912572,ISC,ISC|ISC-Ms,1920,8,3,3,1,59.67,0.64,127.9019,5.8406,21.18,10.28,71.0,15.0,,6.26,0.242
912164,ISC,ISC|ISC-Ms,1921,2,14,1,0,51.92,0.95,128.8922,5.1463,32.44,11.93,57.0,15.0,,6.36,0.194
912199,ISC,ISC|ISC-Ms,1921,4,2,9,36,53.26,0.51,124.8295,23.8013,10.62,6.631,100.0,15.0,,7.06,0.2
912236,ISC,ISC|ISC-Ms,1921,5,21,8,42,12.37,0.78,125.5236,12.6686,20.98,11.42,78.0,35.0,,6.66,0.197
912276,GUTE,GUTE|PAS-Ms,1921,7,15,18,6,22.0,,128.0,2.0,,,,140.0,,6.0,0.2
912359,ISC,ISC|ISC-Ms,1921,11,7,15,59,53.22,0.64,126.8488,7.1451,16.6,10.05,77.0,35.0,,6.46,0.316
912362,ISC,ISC|ISC-Ms,1921,11,11,18,36,20.34,0.47,127.3392,7.5632,13.43,7.815,66.0,15.0,,7.55,0.264
911911,ISC,ISC|ISC-Ms,1922,6,2,20,11,48.07,0.51,127.2943,7.2682,15.08,7.919,71.0,15.0,,6.56,0.196
911996,ISC,ISC|ISC-Ms,1922,8,29,17,1,10.67,0.88,121.7462,12.2724,16.06,9.487,88.0,15.0,,6.66,0.174
911301,ISC,ISC|ISC-Ms,1923,3,2,16,48,34.07,0.65,124.8572,7.6188,13.65,10.02,86.0,15.0,,7.06,0.345
911312,ISC,ISC|ISC-Ms,1923,3,14,20,44,12.1,0.75,126.8732,6.042,20.03,10.77,61.0,35.0,,6.46,0.174
911315,ISC,ISC|ISC-Ms,1923,3,16,22,1,44.81,0.45,127.3053,6.5459,12.2,8.08,78.0,35.0,,6.86,0.174
911334,ISC,ISC|ISC-Ms,1923,4,19,3,9,13.52,0.54,117.3976,2.4976,11.79,8.047,94.0,35.0,,6.86,0.258
911497,ISC,ISC|ISC-Ms,1923,8,11,0,54,43.46,0.63,118.2796,5.231,13.72,10.0,100.0,35.0,,6.36,0.194
911741,ISC,ISC|ISC-Ms,1923,11,18,21,29,31.8,0.63,122.228,23.8824,9.251,6.87,153.0,25.0,,6.66,0.326
910911,ISC,ISC|ISC-Ms,1924,4,14,16,20,36.71,0.38,126.0375,6.7219,11.39,6.813,66.0,15.0,,8.05,0.264
910942,ISC,ISC|ISC-Ms,1924,5,6,16,9,29.24,0.51,119.0991,15.8889,9.676,8.146,73.0,15.0,,6.86,0.199
911077,ISC,ISC|ISC-Ms,1924,8,30,3,4,59.79,0.35,126.8927,8.9634,9.827,6.293,61.0,15.0,,7.26,0.2
911120,ISC,ISC|ISC-Ms,1924,9,14,14,8,8.98,0.83,127.4093,9.9209,29.65,11.49,52.0,15.0,,6.36,0.174
911174,ISC,ISC|ISC-Ms,1924,10,27,19,57,11.33,0.77,124.3366,7.1525,13.72,8.91,91.0,20.0,,6.16,0.24
910427,GUTE,GUTE|PAS-Ms,1925,3,26,10,25,12.0,,125.0,5.5,,,,180.0,,6.5,0.2
910439,ISC,ISC|ISC-Ms,1925,4,7,18,5,41.15,0.57,126.7336,7.5089,14.46,7.784,71.0,25.0,,6.36,0.174
910450,ISC,ISC|ISC-Ms,1925,4,16,19,52,41.39,0.42,121.1005,21.7884,6.87,4.956,112.0,15.0,,7.16,0.264
910473,ISC,ISC|ISC-Ms,1925,5,3,17,21,47.03,0.38,126.3037,1.1896,13.05,6.115,65.0,15.0,,7.26,0.2
910478,ISC,ISC|ISC-Ms,1925,5,5,10,6,13.93,0.51,123.0637,9.7815,10.09,7.016,80.0,15.0,,6.86,0.258
910484,ISC,ISC|ISC-Ms,1925,5,5,23,21,8.9,0.45,126.1039,1.1812,11.79,7.261,69.0,15.0,,6.76,0.256
910513,GUTE,GUTE|PAS-Ms,1925,5,25,3,43,6.0,,122.5,12.5,,,,35.0,,6.2,0.2
910524,ISC,ISC|ISC-Ms,1925,6,3,4,33,54.06,0.45,126.0099,1.2921,12.27,7.88,62.0,15.0,,7.06,0.2
910715,GUTE,GUTE|PAS-Ms,1925,10,18,8,25,58.0,,128.0,3.5,,,,220.0,,6.2,0.2
910734,ISC,ISC|ISC-Ms,1925,11,13,12,14,51.03,0.33,124.7672,12.6535,8.739,5.69,64.0,20.0,,7.36,0.2
910783,ISC,ISC|ISC-Ms,1925,12,26,18,23,45.85,1.19,125.5379,8.8643,20.91,14.18,67.0,20.0,,6.36,0.311
910784,ISC,ISC|ISC-Ms,1925,12,27,10,28,20.43,0.71,126.2976,1.6696,18.78,11.44,59.0,35.0,,6.26,0.193
909718,GUTE,GUTE|PAS-Ms,1926,1,23,3,11,52.0,,126.0,11.0,,,,35.0,,5.6,0.2
909755,ISC,ISC|ISC-Ms,1926,3,4,9,30,57.13,0.45,127.7288,4.675,11.85,7.242,69.0,15.0,,6.66,0.326
909845,ISC,ISC|ISC-Ms,1926,5,20,7,2,19.03,0.53,124.9573,5.4726,11.62,7.826,66.0,35.0,,6.56,0.196
909938,GUTE,GUTE|PAS-Ms,1926,7,14,16,46,48.0,,129.0,2.0,,,,180.0,,6.2,0.2
909939,GUTE,GUTE|PAS-Ms,1926,7,14,16,59,27.0,,129.0,2.0,,,,180.0,,6.2,0.2
909963,ISC,ISC|ISC-Ms,1926,8,2,5,1,34.17,0.5,124.0466,13.3564,9.65,7.178,56.0,15.0,,6.66,0.197
909966,ISC,ISC|ISC-Ms,1926,8,3,3,41,38.9,0.52,121.6459,21.5105,7.415,6.267,85.0,15.0,,6.56,0.196
910104,ISC,ISC|ISC-Ms,1926,9,12,15,43,48.74,0.51,121.3844,22.9355,7.826,5.168,139.0,15.0,,6.56,0.174
910134,GUTE,GUTE|PAS-Ms,1926,9,30,5,17,43.0,,122.5,3.0,,,,600.0,,6.2,0.2
910207,GUTE,GUTE|PAS-Ms,1926,10,30,13,46,34.0,,124.5,9.5,,,,520.0,,6.2,0.2
910250,ISC,ISC|ISC-Ms,1926,11,27,5,19,27.97,0.95,124.6989,11.2606,16.63,12.32,45.0,15.0,,6.26,0.193
909198,ISC,ISC|PAS-Ms,1927,4,13,13,44,17.94,0.53,120.8174,15.5118,10.81,7.77,76.0,170.0,,6.8,0.2
909199,GUTE,GUTE|PAS-Ms,1927,4,13,14,34,37.0,,120.5,16.0,,,,140.0,,6.2,0.2
909209,ISC,ISC|PAS-Ms,1927,4,19,17,30,15.96,0.52,120.5676,15.1513,9.828,8.527,57.0,180.0,,6.8,0.2
909473,ISC,ISC|ISC-Ms,1927,8,24,18,9,1.78,0.42,120.3054,23.3529,6.887,5.042,107.0,10.0,,6.56,0.25
909631,ISC,ISC|ISC-Ms,1927,11,16,21,10,10.97,0.35,125.9718,6.6784,10.88,5.496,61.0,35.0,,7.06,0.2
908741,ISC,ISC|ISC-Ms,1928,6,15,6,12,41.58,0.35,121.159,12.8089,8.361,5.697,75.0,25.0,,7.06,0.345
908742,ISC,ISC|ISC-Ms,1928,6,15,17,16,25.23,0.48,120.9933,12.8332,9.784,7.361,75.0,15.0,,6.86,0.199
908824,GUTE,GUTE|PAS-Ms,1928,8,5,14,41,56.0,,119.5,16.0,,,,35.0,,6.2,0.2
908827,ISC,ISC|ISC-Ms,1928,8,12,8,8,41.73,0.49,126.9486,1.9167,11.51,7.376,69.0,15.0,,6.16,0.24
908888,ISC,ISC|ISC-Ms,1928,9,13,3,26,27.92,0.45,126.1024,2.0351,11.86,7.38,66.0,35.0,,6.56,0.196
